iter	Passed	Remaining
0	141	141674
1	143	71372
2	144	48038
3	146	36509
4	148	29501
5	149	24744
6	150	21420
7	152	18960
8	154	17030
9	155	15423
10	156	14103
11	158	13064
12	160	12174
13	161	11402
14	162	10701
15	179	11026
16	180	10446
17	182	9943
18	184	9523
19	185	9104
20	186	8715
21	188	8381
22	190	8080
23	192	7811
24	193	7541
25	194	7291
26	196	7066
27	198	6881
28	199	6675
29	200	6487
30	202	6321
31	204	6172
32	205	6022
33	206	5874
34	207	5731
35	209	5606
36	211	5506
37	212	5389
38	213	5272
39	215	5161
40	216	5060
41	217	4971
42	220	4897
43	221	4807
44	222	4720
45	223	4639
46	224	4558
47	226	4499
48	228	4431
49	229	4359
50	230	4291
51	231	4226
52	233	4177
53	235	4117
54	236	4059
55	237	4002
56	238	3950
57	240	3904
58	241	3854
59	242	3804
60	244	3756
61	245	3713
62	246	3668
63	247	3623
64	248	3580
65	250	3538
66	251	3497
67	252	3460
68	254	3430
69	255	3392
70	256	3357
71	257	3324
72	259	3291
73	260	3262
74	262	3237
75	263	3206
76	264	3175
77	266	3144
78	267	3113
79	268	3088
80	269	3061
81	271	3034
82	271	3002
83	272	2975
84	274	2950
85	275	2931
86	277	2912
87	278	2889
88	279	2865
89	281	2842
90	282	2820
91	283	2800
92	284	2779
93	286	2758
94	287	2737
95	288	2716
96	289	2697
97	291	2679
98	292	2659
99	293	2641
100	294	2622
101	295	2603
102	296	2586
103	298	2570
104	299	2553
105	300	2535
106	301	2519
107	303	2502
108	304	2486
109	305	2471
110	306	2456
111	307	2440
112	308	2424
113	310	2409
114	311	2394
115	312	2381
116	313	2365
117	314	2352
118	315	2338
119	317	2325
120	318	2311
121	319	2296
122	320	2283
123	321	2271
124	322	2259
125	324	2247
126	324	2233
127	325	2220
128	327	2209
129	328	2200
130	330	2189
131	331	2179
132	332	2167
133	333	2156
134	335	2149
135	336	2138
136	337	2127
137	338	2117
138	340	2106
139	341	2097
140	342	2089
141	344	2078
142	345	2069
143	346	2061
144	347	2051
145	349	2044
146	351	2038
147	352	2030
148	354	2022
149	355	2015
150	357	2008
151	359	2002
152	360	1995
153	361	1985
154	362	1977
155	364	1970
156	365	1962
157	367	1957
158	369	1953
159	370	1945
160	371	1938
161	374	1934
162	375	1929
163	377	1923
164	380	1927
165	382	1922
166	383	1915
167	385	1907
168	386	1901
169	388	1895
170	390	1891
171	391	1884
172	392	1877
173	394	1870
174	395	1865
175	397	1862
176	399	1856
177	400	1848
178	401	1843
179	404	1840
180	405	1834
181	406	1827
182	407	1820
183	409	1814
184	410	1808
185	411	1802
186	413	1797
187	414	1792
188	416	1787
189	418	1783
190	420	1779
191	421	1774
192	422	1768
193	424	1762
194	425	1758
195	427	1752
196	428	1746
197	429	1740
198	431	1736
199	432	1731
200	434	1728
201	436	1722
202	437	1717
203	438	1712
204	441	1712
205	442	1707
206	444	1702
207	445	1698
208	447	1694
209	449	1691
210	450	1685
211	452	1680
212	453	1676
213	456	1675
214	458	1673
215	459	1668
216	461	1664
217	463	1661
218	465	1658
219	467	1656
220	468	1653
221	472	1654
222	474	1651
223	475	1647
224	477	1644
225	479	1642
226	481	1639
227	483	1636
228	485	1635
229	487	1633
230	489	1629
231	491	1625
232	495	1630
233	497	1627
234	498	1623
235	500	1620
236	503	1619
237	504	1615
238	506	1611
239	508	1610
240	510	1607
241	511	1602
242	513	1598
243	515	1595
244	517	1593
245	518	1590
246	520	1587
247	522	1583
248	523	1580
249	526	1578
250	527	1574
251	529	1570
252	531	1569
253	533	1565
254	534	1561
255	536	1558
256	538	1556
257	540	1553
258	541	1548
259	542	1544
260	544	1541
261	546	1539
262	547	1535
263	549	1530
264	550	1527
265	552	1525
266	555	1523
267	556	1519
268	557	1516
269	559	1513
270	561	1510
271	562	1506
272	564	1502
273	565	1498
274	567	1495
275	568	1491
276	569	1487
277	571	1483
278	572	1480
279	574	1476
280	575	1472
281	576	1468
282	578	1464
283	579	1460
284	580	1457
285	582	1453
286	583	1449
287	584	1445
288	585	1441
289	587	1437
290	589	1435
291	590	1431
292	591	1427
293	592	1423
294	594	1419
295	595	1416
296	596	1412
297	598	1409
298	599	1405
299	600	1401
300	602	1399
301	603	1395
302	605	1391
303	606	1388
304	607	1384
305	608	1380
306	610	1377
307	611	1374
308	612	1370
309	614	1367
310	615	1363
311	616	1360
312	618	1357
313	619	1353
314	620	1350
315	622	1346
316	623	1343
317	624	1339
318	626	1337
319	627	1333
320	628	1330
321	629	1326
322	631	1323
323	632	1320
324	634	1317
325	635	1313
326	636	1310
327	638	1307
328	639	1304
329	640	1300
330	641	1297
331	643	1294
332	644	1290
333	645	1287
334	647	1284
335	648	1282
336	649	1278
337	651	1275
338	652	1271
339	653	1268
340	655	1266
341	656	1262
342	657	1259
343	659	1256
344	660	1253
345	661	1250
346	662	1247
347	664	1244
348	665	1240
349	666	1237
350	667	1234
351	668	1231
352	670	1228
353	671	1225
354	673	1223
355	674	1220
356	675	1217
357	677	1214
358	678	1212
359	680	1209
360	681	1206
361	682	1202
362	683	1200
363	685	1197
364	686	1194
365	687	1191
366	689	1188
367	690	1185
368	691	1182
369	693	1180
370	694	1177
371	695	1174
372	696	1171
373	698	1168
374	699	1165
375	700	1162
376	701	1160
377	703	1156
378	704	1154
379	705	1151
380	707	1148
381	708	1146
382	709	1143
383	710	1140
384	712	1137
385	713	1135
386	714	1132
387	716	1130
388	717	1127
389	719	1124
390	720	1122
391	721	1119
392	723	1117
393	725	1115
394	726	1113
395	728	1110
396	729	1108
397	731	1106
398	733	1104
399	734	1102
400	736	1099
401	737	1097
402	738	1094
403	740	1092
404	741	1089
405	743	1087
406	744	1085
407	746	1083
408	748	1081
409	749	1079
410	751	1076
411	753	1075
412	755	1073
413	756	1071
414	758	1069
415	760	1067
416	762	1065
